All_India_Rank,NIRF_Ranking,Placement_Percentage,Median_Placement_Package,Distance_from_College,Government_Funded,Teachers_Qualification,College_Fee,Living_Facilities,Girls_Boys_Ratio_Percentage,Admission_Probability
103,4,63,170,685,1,6,1,1,31,14.249554290151323
436,30,44,198,99,1,5,7,10,23,49.888815345135605
861,5,89,188,1681,0,4,1,9,42,61.81557343181191
271,23,70,180,707,1,3,7,7,10,70.2464970544104
107,7,50,110,1349,0,1,3,1,32,55.96486834869141
72,13,42,21,1211,0,6,8,8,53,0.9770847419183659
701,15,77,76,549,0,2,3,3,30,32.64613082439919
21,11,42,74,741,0,8,1,8,39,51.771164338471145
615,29,23,170,878,1,10,8,5,31,8.786649914483336
122,4,30,177,50,1,5,3,1,82,35.06269312091808
467,13,57,83,749,1,7,2,7,100,3.3203108791366565
215,7,29,52,1737,0,10,1,5,2,7.857849715502074
331,27,17,53,1956,1,2,3,6,78,39.69232762015961
459,19,16,38,511,0,8,2,6,77,13.271575404306034
88,22,76,150,968,1,2,2,8,93,56.75408482615582
373,28,26,21,1178,0,4,6,9,12,68.94649691372658
100,2,42,104,1234,0,1,1,2,39,80.05866991090829
872,10,57,55,938,0,5,2,9,66,20.01502442448101
664,13,85,139,1757,1,9,6,10,96,16.748258225906977
131,30,68,44,470,1,1,3,9,13,10.456784033440025
662,25,95,90,741,1,9,4,10,46,63.64302495436367
309,21,31,99,761,1,8,1,10,27,70.64757264869012
770,6,39,17,934,0,6,8,7,17,3.1586144825642037
344,28,47,102,918,1,7,7,1,95,93.62122462436898
492,28,60,163,1591,1,3,7,7,98,5.1971283651472415
414,12,63,99,1580,0,1,3,10,60,54.12963353010704
806,12,17,171,1286,0,5,10,5,64,70.90605194509165
386,20,36,124,399,0,2,10,6,88,87.09691237460856
192,30,36,114,1627,1,5,3,10,35,71.40869321324278
956,30,30,144,892,0,8,2,7,70,80.17280830697918
277,11,39,67,265,0,9,1,5,83,33.94501925428061
161,26,37,123,718,0,2,7,7,30,81.48251137465122
460,23,73,84,1848,1,3,7,9,71,8.011484638467515
314,28,78,166,1954,0,3,2,3,74,89.48166560605276
22,25,70,129,459,1,1,7,8,96,54.75923761537362
253,7,57,173,19,1,8,8,2,98,81.72977699624937
748,30,28,30,833,0,6,1,7,63,45.23182845183001
857,1,13,173,807,0,8,9,2,28,64.35776951965249
561,1,44,147,1275,1,9,7,4,60,52.640266093611324
475,25,73,110,1284,0,5,3,7,79,73.15895217553319
59,27,58,161,886,0,3,8,3,94,8.162998203058958
511,30,26,186,1038,1,5,7,2,37,6.03520839905638
682,25,53,108,1152,1,5,8,10,93,24.710323401014644
476,20,39,45,1025,0,5,6,7,22,15.954468011318834
700,13,55,105,1834,1,3,9,1,68,87.17835665922017
976,9,15,161,383,0,10,5,8,20,21.92139873580443
783,3,46,160,1098,0,4,3,3,96,97.58652558191314
190,7,33,199,155,0,9,3,2,100,33.68957917711069
958,6,55,46,233,1,10,1,3,68,18.211791568869927
687,8,62,21,1272,0,9,8,5,91,78.96985071424791
958,27,69,122,186,0,2,2,8,64,65.87077755008761
563,9,72,192,1812,0,8,3,10,17,49.8195716453139
876,30,94,22,862,1,8,8,7,12,55.53635509376312
567,5,41,32,1315,1,7,8,7,22,71.92017782722638
244,1,96,108,72,1,8,4,7,17,22.845474133129873
832,19,42,114,1250,1,3,4,8,10,99.63339160567419
505,10,76,39,1887,1,6,5,1,65,97.4793162146783
131,12,27,26,836,0,1,6,4,22,65.03256863469369
485,24,34,122,804,1,7,5,6,90,19.954245092914512
819,15,63,71,698,1,1,7,9,82,68.02282424312914
647,27,67,93,1494,1,9,2,2,50,7.219840897917584
21,22,76,121,1962,0,1,7,1,14,3.0652502205806065
841,24,55,95,1643,1,1,10,10,64,25.76828885112137
167,9,33,150,114,1,7,7,2,47,46.26229567393163
274,20,41,196,1132,0,2,1,7,29,86.82725054083805
388,17,56,28,520,1,5,7,3,76,72.7169069766308
601,30,95,186,394,0,8,5,10,36,74.2706521199981
316,17,32,109,414,0,8,3,2,99,42.54933344480754
14,26,75,149,832,0,3,3,7,52,34.59349925469629
242,20,36,198,527,0,7,4,2,76,37.10387629846027
777,12,11,156,485,0,3,2,3,7,98.76495637360578
346,30,99,85,718,1,6,2,7,29,4.010919141248248
565,7,26,18,1896,0,6,1,4,11,86.70314961224486
898,2,42,37,1678,0,3,5,1,33,57.86754085723934
340,3,18,137,1903,1,7,4,5,6,43.86154191895905
92,17,52,61,780,0,3,10,9,79,72.52576604151365
367,5,57,92,1470,1,8,2,8,32,48.666894142470284
956,17,48,120,1056,1,10,3,9,51,87.34232380816606
455,24,51,153,1006,1,4,7,10,75,90.07018640112585
428,17,35,126,1598,0,1,7,9,58,42.17209268734554
509,27,59,78,686,0,4,4,7,87,27.682779723505156
