All_India_Rank,NIRF_Ranking,Placement_Percentage,Median_Placement_Package,Distance_from_College,Government_Funded,Teachers_Qualification,College_Fee,Living_Facilities,Girls_Boys_Ratio_Percentage,Admission_Probability
103,4,72.27056779234239,190.51177373965294,1600.8266938289948,1,4,4.027334174455799,1,58.88239934381628,58.047500671667464
436,30,68.67651335523405,190.61535791813566,1259.5217750869065,1,5,5.702672724710708,8,69.13257872079295,8.876739410776846
861,5,30.18423785145038,118.95319874342437,172.7004735782551,1,5,7.590446264661806,5,40.3405198579757,96.16657359548132
271,23,74.09612992127823,130.04907031226185,1748.4214619724867,0,6,1.030117258386813,2,48.50981107761525,63.49600455910331
107,7,31.352417874712007,95.20464917588076,1842.5360770583081,0,9,5.205796898838873,2,68.91080586231543,75.48378199408478
72,13,39.285972834334096,65.71004662263226,131.54514011117885,0,2,3.6730258880939397,6,2.720599228362484,17.047793817391753
701,15,77.18422646062217,72.44626362028404,560.9865198129354,0,5,8.675396395227112,9,32.98993504995758,40.94778530052039
21,11,68.46696091424931,137.77850665463728,1614.3405467881921,1,3,7.439979837108178,1,97.3366770589643,42.26891133961895
615,29,86.43010694447601,152.95116059315922,1499.0367838634802,0,4,6.301976810238053,6,58.431110739851334,82.18064439010868
122,4,69.18516030703091,160.4000183079112,377.1968285191909,0,10,3.4953908112709624,9,26.168233409851833,0.12366797594094425
467,13,61.147774300192445,160.02744713096524,426.6051534400535,1,6,9.193051918517808,8,52.6512746169851,30.085310835325508
215,7,18.430729104528325,27.32915957925117,747.2394845548502,0,8,1.4059060949829085,6,34.92269532397062,98.12363743443039
331,27,43.09442227534902,103.93985789349048,974.2007405301324,0,1,1.9852083881120364,3,53.69225389380361,47.488654350621864
459,19,33.86821309135529,20.936164403162415,1240.3269953452889,0,10,4.524671264863205,8,13.448409668858234,38.25262802440083
88,22,31.95906790411752,114.41048764150975,744.1381427438471,0,8,2.119938015671707,9,14.13875072810846,11.982900201764634
373,28,97.57094992772011,93.89079526094163,930.4440851049643,0,7,9.607741278034824,1,15.210693841899893,97.41646286280155
100,2,45.378795220008435,178.66379472407695,1497.4671668861754,0,1,8.18190389929045,9,94.04215940075733,2.002635592582447
872,10,90.2841899659402,76.67385238489496,82.99957375228982,1,2,3.330843864416323,6,73.55699291579283,73.71802250072432
664,13,66.80247633975367,32.24273312124511,512.3495192446013,1,3,6.296988060759208,6,17.07580757156977,76.85998047885084
131,30,81.53301731874836,37.16841959003881,1429.5656759102594,0,1,9.840974635720734,4,19.646559292794542,24.365671606386663
662,25,55.23733837946729,154.68702002631971,1791.4616069975266,0,9,8.957790803183526,1,73.35211801221676,67.15584436130374
309,21,61.92134961637232,127.4614320300896,1028.2381098101755,1,8,6.407186017979782,10,16.46022063442522,9.292914437938993
770,6,54.32659244369775,29.213308463330147,1068.905835677978,0,2,9.133515704577434,8,24.22156804014804,25.704726643207987
344,28,27.571868901824004,25.980293161849513,223.27230256615434,0,9,9.90266418832023,2,96.3713364492195,78.7901988292265
492,28,75.02069037353547,143.1841349772328,900.3506099786747,0,7,7.690175406042617,1,26.275345948114754,86.46861920335402
414,12,35.26951261967702,23.824971209196768,1069.9083602454962,1,9,1.5848776853460462,2,66.50160268674352,60.84864126597913
806,12,12.188436978830845,166.15341126516768,492.516302233112,0,6,4.614222127829387,1,97.88449745265251,50.683843182048264
386,20,68.09250663164511,144.18602315973428,545.7940295892681,1,6,8.54043161754921,1,38.05537994683947,15.93040206189803
192,30,25.939961146634403,25.456268321960955,760.7954845781991,0,4,3.075122762245171,9,2.7340830953441615,6.310903307915017
956,30,94.64127259176229,26.119165676186466,49.94168357767548,1,10,8.475782659755621,1,25.170581751815053,11.764902847355863
